model,timeframe,dtype,coef,ci_lower,ci_upper,se
tricot_1987,1987-2024,model_forcing,0.5632354269209043,0.5229103052714923,0.6035605485703164,0.02057404165786329
wigley_1987_lower,1985-2024,model_time,0.011685174614716558,0.011423184336423146,0.011947164893009971,0.00013366850933337385
wigley_1987_lower,1985-2024,model_forcing,0.26116502950200177,0.2611650295020017,0.2611650295020018,2.832201593431522e-17
wigley_1987_average,1985-2024,model_time,0.019889658918666484,0.019443718010315383,0.020335599827017586,0.00022752087160770486
wigley_1987_average,1985-2024,model_forcing,0.29635748028595954,0.2963574802859595,0.2963574802859596,2.832201593431522e-17
wigley_1987_upper,1985-2024,model_time,0.044751732555947506,0.04366575931835493,0.04583770579354008,0.0005540679783635585
wigley_1987_upper,1985-2024,model_forcing,0.44453622031915463,0.4445362203191545,0.44453622031915474,5.664403186863044e-17
hansen_1988,1988-2024,model_time,0.029063537221432564,0.024329709474690278,0.03379736496817485,0.0024152182381338193
hansen_1988,1988-2024,model_forcing,0.6022330274703598,0.48884519918575375,0.7156208557549658,0.05785093279826838
macdonald_1988_lower,1980-2024,model_time,0.020264688694960613,0.020264688694960564,0.02026468869496066,2.4781763942525817e-17
macdonald_1988_lower,1980-2024,model_forcing,0.47169811320754707,0.4716922656852771,0.471703960729817,2.983429729567743e-06
macdonald_1988_median,1980-2024,model_time,0.025316420522475833,0.025316420522475784,0.02531642052247588,2.4781763942525817e-17
macdonald_1988_median,1980-2024,model_forcing,0.5017943238077498,0.5017943238077497,0.5017943238077499,5.664403186863044e-17
macdonald_1988_upper,1980-2024,model_time,0.03036815234999105,0.03036815234999085,0.030368152349991247,1.0089718176599796e-16
macdonald_1988_upper,1980-2024,model_forcing,0.5241090146750526,0.5241090146750524,0.5241090146750527,5.664403186863044e-17
ciborowski _1989_lower,1985-2024,model_time,0.012109156320980273,0.012051636469600916,0.01216667617235963,2.934686294865131e-05
ciborowski _1989_lower,1985-2024,model_forcing,0.22566838995568683,0.2256683899556868,0.22566838995568686,1.416100796715761e-17
ciborowski _1989_median,1985-2024,model_time,0.028175297750302718,0.02804895447641428,0.028301641024191155,6.446085402471286e-05
ciborowski _1989_median,1985-2024,model_forcing,0.5056650976819805,0.5056194402499591,0.505710755114002,2.329460817420964e-05
ciborowski _1989_upper,1985-2024,model_time,0.04424143917962517,0.04404627248322765,0.04443660587602269,9.957484510077531e-05
ciborowski _1989_upper,1985-2024,model_forcing,0.7657000686341797,0.7657000686341795,0.7657000686341799,1.1328806373726087e-16
harvey_1989,1989-2024,model_time,0.020118107547104185,0.01983955584128577,0.0203966592529226,0.0001421182172542939
harvey_1989,1989-2024,model_forcing,0.44119917223518945,0.3982278587006169,0.484170485769762,0.021924139558455392
budyko_1990,1980-2024,model_time,0.024213218563316045,0.02221490584687602,0.02621153127975607,0.0010195473043061347
budyko_1990,1980-2024,model_forcing,0.5143564081102686,0.2914165698425578,0.7372962463779794,0.11374481544270959
etkin_1990_lower,1990-2024,model_time,0.008184409499999991,0.008184409499999847,0.008184409500000135,7.34602288296301e-17
etkin_1990_lower,1990-2024,model_forcing,0.23132584309975654,0.22478224244966663,0.23786944374984645,0.0033385717602499535
etkin_1990_median,1990-2024,model_time,0.03674547614999989,0.03674547614999967,0.0367454761500001,1.0974781174547148e-16
etkin_1990_median,1990-2024,model_forcing,0.7094578067317576,0.7056043591152101,0.7133112543483051,0.001966044702320148
etkin_1990_upper,1990-2024,model_time,0.06530654279999978,0.06530654279999926,0.06530654280000031,2.690591513759946e-16
etkin_1990_upper,1990-2024,model_forcing,0.9570092255008535,0.9312799533143946,0.9827384976873125,0.013127179686968842
ipcc_1990_lower,1990-2024,model_time,0.018722689075630194,0.018067885346045937,0.01937749280521445,0.00033408353550217173
ipcc_1990_lower,1990-2024,model_forcing,0.2919854985990587,0.2859680653903188,0.2980029318077986,0.0030701189840509568
